ticker,date,period_ending,estimate,reported,surprise,surprise%,
A,2022-11-21,Oct-22,1.39,1.53,0.14,10.07,2022-11-21
AA,2022-10-19,Sep-22,0.09,-0.33,-0.42,-466.67,2022-10-19
AAL,2022-10-20,Sep-22,0.54,0.69,0.15,27.78,2022-10-20
AAN,2022-10-24,Sep-22,0.16,0.31,0.15,93.75,2022-10-24
AAON,2022-11-07,Sep-22,0.44,0.51,0.07,15.91,2022-11-07
AAP,2022-11-15,Sep-22,3.32,2.84,-0.48,-14.46,2022-11-15
AAPL,2022-10-27,Sep-22,1.26,1.29,0.03,2.38,2022-10-27
AAT,2022-10-25,Sep-22,0.55,0.21,-0.34,-61.82,2022-10-25
ABBV,2022-10-28,Sep-22,3.56,3.66,0.1,2.81,2022-10-28
ABC,2022-11-03,Sep-22,2.58,2.6,0.02,0.78,2022-11-03
ABCB,2022-10-27,Sep-22,1.34,1.32,-0.02,-1.49,2022-10-27
ABCL,2022-11-08,Sep-22,0.09,0.08,-0.01,-11.11,2022-11-08
ABG,2022-10-27,Sep-22,9.19,9.23,0.04,0.44,2022-10-27
ABM,2022-12-13,Oct-22,0.89,0.89,0,0,2022-12-13
ABNB,2022-11-01,Sep-22,1.43,1.79,0.36,25.17,2022-11-01
ABR,2022-11-04,Sep-22,0.45,0.56,0.11,24.44,2022-11-04
ABT,2022-10-19,Sep-22,0.91,1.15,0.24,26.37,2022-10-19
ABUS,2022-11-09,Sep-22,-0.12,-0.12,0,0,2022-11-09
ACA,2022-11-02,Sep-22,0.58,0.7,0.12,20.69,2022-11-02
ACAD,2022-11-02,Sep-22,-0.18,-0.17,0.01,5.56,2022-11-02
ACCD,2022-10-06,Aug-22,-0.71,-0.66,0.05,7.04,2022-10-06
ACCO,2022-11-07,Sep-22,0.24,0.25,0.01,4.17,2022-11-07
ACEL,2022-11-08,Sep-22,0.23,0.21,-0.02,-8.7,2022-11-08
ACET,2022-11-08,Sep-22,-0.56,-0.53,0.03,5.36,2022-11-08
ACGL,2022-10-26,Sep-22,0.24,0.28,0.04,16.67,2022-10-26
ACHC,2022-10-31,Sep-22,0.8,0.8,0,0,2022-10-31
ACI,2022-10-18,Aug-22,0.64,0.72,0.08,12.5,2022-10-18
ACLS,2022-11-02,Sep-22,1.13,1.21,0.08,7.08,2022-11-02
ACM,2022-11-14,Sep-22,0.84,0.89,0.05,5.95,2022-11-14
ACMR,2022-11-04,Sep-22,0.19,0.42,0.23,121.05,2022-11-04
ACN,2022-09-22,Aug-22,2.57,2.6,0.03,1.17,2022-09-22
ACRE,2022-11-02,Sep-22,0.35,0.39,0.04,11.43,2022-11-02
ACRS,2022-11-08,Sep-22,-0.39,-0.3,0.09,23.08,2022-11-08
ACT,2022-11-01,Sep-22,0.89,1.17,0.28,31.46,2022-11-01
ACVA,2022-11-09,Sep-22,-0.19,-0.15,0.04,21.05,2022-11-09
ADBE,2022-09-15,Aug-22,3.33,3.4,0.07,2.1,2022-09-15
